"","ID","p_value_UT_max","p_value_test_min","M_HOM0.1","M_HOM0.2","M_HOM0.3","hom_by_AIC","M_AIC.1","M_AIC.2","M_AIC.3","p_value_UT_hom_AIC","p_value_S_hom_AIC","hom_by_AIC_corr","M_AIC_corr.1","M_AIC_corr.2","M_AIC_corr.3","p_value_UT_hom_AIC_corr","p_value_S_hom_AIC_corr","het_by_AIC","S_AIC.1","S_AIC.2","S_AIC.3","p_value_UT_het_AIC","p_value_S_het_AIC","het_by_AIC_corr","S_AIC_corr.1","S_AIC_corr.2","S_AIC_corr.3","p_value_UT_het_AIC_corr","p_value_S_het_AIC_corr","by_AIC","Delta_AIC","by_AIC_corr","Delta_AIC_corr"
"39","Frenoy_Nor_6",0.8064,0.0000,1.717358e+01,1.063497e+01,2.562024e+01,"HOM0", 17.17358022, 10.63496926, 25.62023720,0.8064,0.6509,"HOM0",1.717358e+01,1.063497e+01,2.562024e+01,0.8064,0.6509,"HET2",1.069834e+02,4.512618e+01,6.505015e+04,0.8167,0.4632,"HET2",1.069834e+02,4.512618e+01,6.505015e+04,0.8167,0.4632,"HOM0", -3.436338732,"HOM0", -4.099904624
"40","Frenoy_Nor_7",0.9828,0.0000,4.536444e+00,3.283565e+00,5.989126e+00,"HOM1",  4.02089683,  2.80254696,  5.62987599,0.4494,0.4392,"HOM1",4.020897e+00,2.802547e+00,5.629876e+00,0.4494,0.4392,"HET2",2.021551e+01,7.693836e+00,4.526876e+03,0.9818,0.4997,"HET0",1.070601e+01,6.873585e+00,1.566577e+01,0.9863,0.0924,"HOM1", -7.995916806,"HOM1", -7.727483616
"41","Frenoy_Nor",0.7850,0.0000,6.318568e+00,5.429839e+00,7.284108e+00,"HOM2", 10.16936550,  8.25551811, 12.38059122,0.7850,0.5283,"HOM2",1.016937e+01,8.255518e+00,1.238059e+01,0.7850,0.5283,"HET2",2.992406e+01,2.073765e+01,6.803204e+01,0.0091,0.5574,"HET2",2.992406e+01,2.073765e+01,6.803204e+01,0.0091,0.5574,"HOM2",-12.498652011,"HOM2",-12.498652011
"42","Giroux_Trim",0.5742,0.0000,5.469509e+00,4.844669e+00,6.292484e+00,"HOM1",  5.15964557,  3.51958849,  7.31089031,0.5434,0.6555,"HOM1",5.159646e+00,3.519588e+00,7.310890e+00,0.5434,0.6555,"HET2",2.421646e+00,1.898265e+00,1.601514e+01,0.0109,0.6317,"HET2",2.421646e+00,1.898265e+00,1.601514e+01,0.0109,0.6317,"HOM1", -9.292649793,"HOM1", -9.591351092
"43","Hocquet_Met_ami",0.5094,0.0000,1.537317e+01,3.044480e-04,7.178173e+05,"HOM1", 16.54352967,  1.85622436, 74.67198164,0.2601,0.5808,"HOM1",1.654353e+01,1.856224e+00,7.467198e+01,0.2601,0.5808,"HET0",2.576607e+02,2.039728e+02,3.539135e+02,0.4817,0.1952,"HET0",2.576607e+02,2.039728e+02,3.539135e+02,0.4817,0.1952,"HET0",  2.679810783,"HET0", 10.679810783
"44","Hocquet_Met_cef",0.6872,0.0000,1.583333e+00,1.062258e-02,2.210475e+02,"HOM1",  1.85197709,  0.50611622, 12.25284948,0.6848,0.7208,"N1",1.000000e+00,1.000000e+00,1.000000e+00,0.4172,0.2248,"HET0",7.352860e+00,4.606845e-01,2.128207e+01,0.8309,0.8789,"HET0",7.352860e+00,4.606845e-01,2.128207e+01,0.8309,0.8789,"HOM1", -1.484368543,"HET0",  3.234320250
"45","Hocquet_Met_cipro",0.5194,0.0000,2.718592e+00,7.087069e-03,1.173664e+03,"HOM1",  4.72298501,  0.28991029, 45.73129161,0.2738,0.7430,"N1",1.000000e+00,1.000000e+00,1.000000e+00,0.7557,0.3549,"HET2",1.903625e+00,5.019466e-01,5.908753e+01,0.0134,0.5180,"HET0",3.141498e+01,8.672678e+00,9.521452e+01,0.0185,0.0089,"HOM1", -6.861778393,"N1", -7.637657258
"46","Hocquet_Met_imi",0.5227,0.0000,7.504930e-01,1.451533e-04,4.695513e+03,"N1",  1.00000000,  1.00000000,  1.00000000,0.2933,0.7208,"N1",1.000000e+00,1.000000e+00,1.000000e+00,0.2933,0.7208,"HET0",1.339162e-01,0.000000e+00,7.995259e+00,0.2764,0.6894,"HET0",1.339162e-01,0.000000e+00,7.995259e+00,0.2764,0.6894,"N1", -0.007363596,"N1", -0.007363596
"47","Mo_Amp_MG1655",0.4449,0.0000,8.035524e-01,6.370352e-02,2.390362e+01,"HOM1",  1.99607775,  0.36029586,  8.44928384,0.1761,0.6928,"HOM1",1.996078e+00,3.602959e-01,8.449284e+00,0.1761,0.6928,"HET0",7.495446e+00,5.203981e-01,2.586445e+01,0.3451,0.7148,"HET0",7.495446e+00,5.203981e-01,2.586445e+01,0.3451,0.7148,"HET0",  2.463466101,"HET0",  4.130132768
"48","Mo_Amp_SulA",0.9104,0.0000,2.763143e+01,5.371927e-01,1.213147e+02,"N2",  1.00000000,  1.00000000,  1.00000000,0.7964,0.5237,"N2",1.000000e+00,1.000000e+00,1.000000e+00,0.7964,0.5237,"HET2",1.426425e+06,1.072619e+05,2.082759e+07,0.8973,0.6224,"HET2",1.426425e+06,1.072619e+05,2.082759e+07,0.8973,0.6224,"N2", -4.546936019,"N2", -7.261221733
"49","Mo_Cip_MG1655",0.4438,0.0000,2.970732e+00,2.355118e-01,3.965751e+01,"HOM1",  4.07556586,  1.52264540, 12.13660108,0.2972,0.5802,"HOM1",4.075566e+00,1.522645e+00,1.213660e+01,0.2972,0.5802,"HET0",1.742879e+01,6.461442e+00,4.466482e+01,0.4264,0.2584,"HET0",1.742879e+01,6.461442e+00,4.466482e+01,0.4264,0.2584,"HET0",  2.133158832,"HET0",  3.799825499
"50","Mo_Cip_SulA",0.8982,0.0000,1.389761e+01,2.701885e-01,2.728777e+02,"N2",  1.00000000,  1.00000000,  1.00000000,0.8833,0.5913,"N2",1.000000e+00,1.000000e+00,1.000000e+00,0.8833,0.5913,"HET2",7.001378e+03,9.732211e+01,5.855179e+05,0.9026,0.4785,"HET0",5.555449e+01,2.497153e+01,1.250472e+02,0.9333,0.0217,"N2", -4.854107134,"N2", -4.048855998
